考点ID,版本ID,学段,L1(范围),L2(模块),L3(主题),L4(原子考点),是否启用学段版本,适用学段,版本语义描述,挂载知识点(必要),挂载知识点(可选),依赖强度,策略前置,教材版本,年级,学期,单元序号,单元名称,小节序号,小节名称,主思想ID,次要思想ID,考法本体UI,核心算力要求,次要算力/变式方向,D1核心数学模型,D2思维路径,I信息隐蔽度,C考点复合度,Ch认知通道
KF-0062,高年级,课内,典型应用题,百分数应用题,浓度问题(简单型),浓度问题、百分数的意义与读写(多步综合L4),ID-101 [量率对应],ID-402 [线段图模]; ID-203 [模型转化],生活情境,KP-0434|KP-0427,直接给出隐含条件; 加入无关数据; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L4,,NUMBER_SYSTEM,D3_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0063,高年级,课内,典型应用题,百分数应用题,利润率问题(利润÷成本),利润率问题、百分数的意义与读写(基础应用L2),ID-101 [量率对应],ID-402 [线段图模],生活情境,KP-0433|KP-0427,从结果反推; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L2,,NUMBER_SYSTEM,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0064,高年级,课内,典型应用题,百分数应用题,合格率问题,百分数的意义与读写、分数与除法的关系(基础应用L1),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0427|KP-0355,已知结果反求条件; 串联两步计算; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L1,,NUMBER_SYSTEM,D1_FORWARD_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0065,高年级,课内,典型应用题,百分数应用题,成活率问题,百分数的意义与读写、分数与除法的关系(基础应用L1),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0427|KP-0355,已知结果反求条件; 串联两步计算; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L1,,NUMBER_SYSTEM,D1_FORWARD_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0066,高年级,课内,典型应用题,百分数应用题,出勤率问题,百分数的意义与读写、分数与除法的关系(基础应用L1),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0427|KP-0355,已知结果反求条件; 串联两步计算; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L1,,NUMBER_SYSTEM,D1_FORWARD_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0067,高年级,课内,典型应用题,百分数应用题,成数应用题,折扣与成数问题、百分数的意义与读写(多步综合L4),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0430|KP-0427,直接给出隐含条件; 加入无关数据; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L4,,NUMBER_SYSTEM,D3_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0068,高年级,课内,典型应用题,百分数应用题,折扣应用题,折扣与成数问题、百分数的意义与读写(多步综合L4),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0430|KP-0427,直接给出隐含条件; 加入无关数据; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L4,,NUMBER_SYSTEM,D3_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0069,高年级,课内,典型应用题,百分数应用题,利率应用题(利息=本金×利率×存期),利率问题、百分数的意义与读写(基础应用L2),ID-101 [量率对应],ID-402 [线段图模],生活情境,KP-0432|KP-0427,从结果反推; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L2,,NUMBER_SYSTEM,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0070,高年级,课内,典型应用题,工程问题,两人合作求时间,分数加减混合运算、归一问题等(多步综合L4),ID-203 [模型转化],ID-103 [单总对应],纯文本/算式,KP-0370|KP-0174|KP-0353,直接给出隐含条件; 加入无关数据; 工作总量设为1,,,,,,,,,,ID-103,,生活情境,ALG_L4,,PART_WHOLE,D3_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
KF-0071,高年级,课内,典型应用题,比和比例应用题,已知比求各部分占整体几分之几,化简比与求比值、分数的意义(基础应用L1),ID-101 [量率对应],,纯文本/算式,KP-0416|KP-0353,已知结果反求条件; 串联两步计算,,,,,,,,,,ID-101,,生活情境,ALG_L1,,NUMBER_SYSTEM,D1_FORWARD_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0072,高年级,课内,典型应用题,比和比例应用题,已知和的按比分配,按比分配问题、化简比与求比值(基础应用L2),ID-101 [量率对应],,纯文本/算式,KP-0423|KP-0416,从结果反推,,,,,,,,,,ID-101,,生活情境,ALG_L2,,RATIO,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0073,高年级,课内,典型应用题,比和比例应用题,已知差的按比分配,按比分配问题、化简比与求比值等(多步综合L4),ID-101 [量率对应],ID-701 [步骤倒推],纯文本/算式,KP-0423|KP-0416|KP-0085,加入过程变化,,,,,,,,,,ID-101,,生活情境,ALG_L4,,RATIO,D3_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
KF-0074,高年级,课内,典型应用题,比和比例应用题,图形的放大与缩小(比例尺),图形的放大与缩小、比例尺的意义与分类(多步综合L4),ID-203 [模型转化],,图文结合,KP-0426|KP-0422,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-901,,图文结合,ALG_L4,,AREA,D3_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0075,高年级,课内,典型应用题,比例应用题,用正比例关系解决归一问题,正比例的意义、正比例解题等(基础应用L2),ID-103 [单总对应],,纯文本/算式,KP-0419|KP-0424|KP-0174,从结果反推,,,,,,,,,,ID-101,,生活情境,ALG_L2,,RATIO,D2_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
KF-0076,高年级,课内,典型应用题,比例应用题,用反比例关系解决归总问题,反比例的意义、反比例解题等(多步综合L4),ID-103 [单总对应],ID-701 [步骤倒推],纯文本/算式,KP-0421|KP-0425|KP-0175,加入过程变化,,,,,,,,,,ID-101,,生活情境,ALG_L4,,RATIO,D3_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
KF-0077,高年级,课内,典型应用题,比例尺应用题,根据比例尺和图上距离求实际距离,比例尺的意义与分类、解比例(基础应用L1),ID-203 [模型转化],ID-202 [算理转化],图文结合,KP-0422|KP-0418,已知结果反求条件; 串联两步计算,,,,,,,,,,ID-901,,生活情境,ALG_L1,,RATIO,D1_FORWARD_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0078,高年级,课内,典型应用题,比例尺应用题,根据实际距离与比例尺求图上距离,比例尺的意义与分类、解比例(逆向求解L3),ID-203 [模型转化],ID-202 [算理转化],图文结合,KP-0422|KP-0418,多步倒推,,,,,,,,,,ID-901,,生活情境,ALG_L3,,RATIO,D2_REVERSE_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0079,高年级,课内,典型应用题,分段计费问题,阶梯电价(分段累计),比多比少问题、含小括号的混合运算(多步综合L4),ID-202 [算理转化],,纯文本/算式,KP-0085|KP-0100,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-602,,纯文本/算式,ALG_L4,,OPTIMIZATION,D3_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0080,高年级,课内,典型应用题,分段计费问题,出租车费(起步价+里程费),比多比少问题、含小括号的混合运算(多步综合L4),ID-202 [算理转化],,生活情境,KP-0085|KP-0100,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-602,,纯文本/算式,ALG_L4,,OPTIMIZATION,D3_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0081,全学段,课内,图形与几何,平面图形周长,靠墙围栏问题(长方形),已知长方形周长的计算、长方形周长的算理反求参数(逆向L4),ID-602 [极值与估算],,生活情境,KP-0191|KP-0190,直接给出隐含条件; 加入无关数据; 等量替换/平移法,,,,,,,,,,ID-201,,图文结合,ALG_L4,,LENGTH,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0082,全学段,课内,图形与几何,平面图形周长,平移法求不规则图形周长(阶梯型),长方形周长的计算、在方格纸上平移图形(正向计算L5),ID-201 [形体转化],,图文结合,KP-0191|KP-0301,静态描述; 加入无关动态过程,,,,,,,,,,ID-201,,图文结合,ALG_L5,,LENGTH,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0083,全学段,课内,图形与几何,平面图形周长,已知正方形周长求边长,已知正方形周长的计算反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0192,多步倒推; 等量替换/平移法,,,,,,,,,,ID-201,,图文结合,ALG_L3,,LENGTH,D2_REVERSE_SINGLE,I1_SHALLOW,C1_SINGLE,Ch-V
KF-0084,全学段,课内,图形与几何,平面图形周长,已知长方形周长和一边求另一边,已知长方形周长的计算、长方形周长的算理反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0191|KP-0190,多步倒推; 等量替换/平移法,,,,,,,,,,ID-201,,图文结合,ALG_L3,,LENGTH,D2_REVERSE_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0085,全学段,课内,图形与几何,平面图形周长,求与圆有关的组合图形周长,圆的周长计算、圆周率的意义(正向计算L2),ID-201 [形体转化],ID-401 [图解算理],图文结合,KP-0441|KP-0440,从结果反推; 等量替换/平移法,,,,,,,,,,ID-201,,图文结合,ALG_L2,,LENGTH,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0086,全学段,课内,图形与几何,平面图形周长,已知圆的周长求半径,已知圆的周长计算、圆周率的意义等反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0441|KP-0440|KP-0439,多步倒推; 等量替换/平移法,,,,,,,,,,ID-201,,图文结合,ALG_L3,,LENGTH,D2_REVERSE_SINGLE,I1_SHALLOW,C3_CROSS_MODULE,Ch-V
KF-0087,全学段,课内,图形与几何,平面图形周长,已知圆的周长求直径,已知圆的周长计算、圆周率的意义反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0441|KP-0440,多步倒推; 等量替换/平移法,,,,,,,,,,ID-201,,图文结合,ALG_L3,,LENGTH,D2_REVERSE_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0088,全学段,课内,图形与几何,平面图形周长,小圆直径和等于大圆直径时周长相等,已知圆的周长计算、圆周率的意义反求参数(逆向L4),ID-202 [算理转化],,图文结合,KP-0441|KP-0440,直接给出隐含条件; 加入无关数据; 等量替换/平移法,,,,,,,,,,ID-201,,图文结合,ALG_L4,,LENGTH,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0089,全学段,课内,图形与几何,平面图形面积,割补法求不规则面积,组合图形面积、组合图形面积等(多步L5),ID-201 [形体转化],ID-401 [图解算理],生活情境,KP-0377|KP-0378|KP-0199,静态描述; 加入无关动态过程; 给出多余边长,,,,,,,,,,ID-201,,图文结合,ALG_L3,,AREA,D2_REVERSE_SINGLE,I1_SHALLOW,C3_CROSS_MODULE,Ch-V
KF-0090,全学段,课内,图形与几何,平面图形面积,已知长方形面积和一边求另一边,已知长方形面积的计算、长方形面积的算理反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0199|KP-0198,多步倒推; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L3,,AREA,D2_REVERSE_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0091,全学段,课内,图形与几何,平面图形面积,已知正方形面积求边长,已知正方形面积的计算反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0200,多步倒推; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L3,,AREA,D2_REVERSE_SINGLE,I1_SHALLOW,C1_SINGLE,Ch-V
KF-0092,全学段,课内,图形与几何,平面图形面积,已知三角形面积和底(高)求高(底),已知三角形面积的计算、三角形面积的推导反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0374|KP-0373,多步倒推; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L3,,AREA,D2_REVERSE_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0093,全学段,课内,图形与几何,平面图形面积,已知平行四边形面积和底(高)求高(底),已知平行四边形面积的计算、平行四边形面积的推导反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0372|KP-0371,多步倒推; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L3,,AREA,D2_REVERSE_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0094,全学段,课内,图形与几何,平面图形面积,已知梯形面积和上下底求高,已知梯形面积的计算、梯形面积的推导反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0376|KP-0375,多步倒推; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L3,,AREA,D2_REVERSE_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0095,全学段,课内,图形与几何,平面图形面积,格点面积(数方格法),面积的概念、不规则图形面积(正向计算L2),ID-401 [图解算理],,图文结合,KP-0196|KP-0503,从结果反推; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L2,,AREA,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0096,全学段,课内,图形与几何,平面图形面积,物体平移形成长方形的面积(洒水车类),已知长方形面积的计算、在方格纸上平移图形反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0199|KP-0301,直接给出隐含条件; 加入无关数据; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0097,全学段,课内,图形与几何,平面图形面积,围三面篱笆求长方形面积,已知长方形面积的计算、长方形周长的计算反求参数(逆向L4),ID-602 [极值与估算],,生活情境,KP-0199|KP-0191,直接给出隐含条件; 加入无关数据; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0098,全学段,课内,图形与几何,平面图形面积,围三面篱笆求梯形面积,已知梯形面积的计算、长方形面积的计算反求参数(逆向L4),ID-602 [极值与估算],,生活情境,KP-0376|KP-0199,直接给出隐含条件; 加入无关数据; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0099,全学段,课内,图形与几何,平面图形面积,等底等高三角形与平行四边形面积关系,已知三角形面积的计算、平行四边形面积的计算反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0374|KP-0372,直接给出隐含条件; 加入无关数据; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0100,全学段,课内,图形与几何,平面图形面积,底(高)相等时面积的倍比关系,三角形面积的计算、平行四边形面积的计算(正向计算L1),ID-202 [算理转化],,图文结合,KP-0374|KP-0372,已知结果反求条件; 串联两步计算; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L1,,AREA,D1_FORWARD_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0101,全学段,课内,图形与几何,平面图形面积,长(宽)变化引起长方形面积变化,已知长方形面积的计算、积的变化规律反求参数(逆向L4),ID-202 [算理转化],,图文结合,KP-0199|KP-0246,直接给出隐含条件; 加入无关数据; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0102,全学段,课内,图形与几何,平面图形面积,边长变化引起正方形面积变化,已知正方形面积的计算、积的变化规律反求参数(逆向L4),ID-202 [算理转化],,图文结合,KP-0200|KP-0247,直接给出隐含条件; 加入无关数据; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0103,全学段,课内,图形与几何,平面图形面积,底(高)变化引起三角形面积变化,已知三角形面积的计算、积的变化规律反求参数(逆向L4),ID-202 [算理转化],,图文结合,KP-0374|KP-0246,直接给出隐含条件; 加入无关数据; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0104,全学段,课内,图形与几何,平面图形面积,底(高)变化引起平行四边形面积变化,已知平行四边形面积的计算、积的变化规律反求参数(逆向L4),ID-202 [算理转化],,图文结合,KP-0372|KP-0246,直接给出隐含条件; 加入无关数据; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0105,全学段,课内,图形与几何,平面图形面积,底(高)变化引起梯形面积变化,已知梯形面积的计算、积的变化规律反求参数(逆向L4),ID-202 [算理转化],,图文结合,KP-0376|KP-0246,直接给出隐含条件; 加入无关数据; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0106,全学段,课内,图形与几何,平面图形面积,求环绕道路的面积,组合图形面积、长方形面积的计算(多步L2),ID-201 [形体转化],,图文结合,KP-0378|KP-0199,从结果反推; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L2,,AREA,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0107,全学段,课内,图形与几何,平面图形面积,求去掉中间道路后的面积,组合图形面积、长方形面积的计算(多步L2),ID-201 [形体转化],,图文结合,KP-0378|KP-0199,从结果反推; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L2,,AREA,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0108,全学段,课内,图形与几何,平面图形面积,求组合图形的面积(分割法),组合图形面积、三角形面积的计算等(多步L2),ID-201 [形体转化],ID-401 [图解算理],图文结合,KP-0377|KP-0374|KP-0376,从结果反推; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L2,,AREA,D2_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-V
KF-0109,全学段,课内,图形与几何,平面图形面积,求组合图形的面积(添补法),组合图形面积、长方形面积的计算(多步L2),ID-201 [形体转化],ID-401 [图解算理],图文结合,KP-0378|KP-0199,从结果反推; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L2,,AREA,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0110,全学段,课内,图形与几何,平面图形面积,求大图形中去掉小图形后的面积,组合图形面积(多步L2),ID-201 [形体转化],,图文结合,KP-0378,从结果反推; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L2,,AREA,D2_FORWARD_MULTI,I1_SHALLOW,C1_SINGLE,Ch-V
KF-0111,全学段,课内,图形与几何,平面图形面积,通过正方形对角线求面积,已知正方形面积的计算、三角形面积的计算反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0200|KP-0374,直接给出隐含条件; 加入无关数据; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0112,全学段,课内,图形与几何,平面图形面积,旋转法求图形面积(圆相关),圆面积的计算、在方格纸上画旋转图形(正向计算L5),ID-201 [形体转化],,图文结合,KP-0443|KP-0392,静态描述; 加入无关动态过程; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L5,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0113,全学段,课内,图形与几何,平面图形面积,已知半圆周长求半圆面积,已知圆面积的计算、圆的周长计算反求参数(逆向L4),ID-202 [算理转化],ID-701 [步骤倒推],图文结合,KP-0443|KP-0441,加入过程变化; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0114,全学段,课内,图形与几何,平面图形面积,已知圆面积求半径,已知圆面积的计算、圆的特征与各部分名称反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0443|KP-0439,多步倒推; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L3,,AREA,D2_REVERSE_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0115,全学段,课内,图形与几何,平面图形面积,通过求出半径的平方解决圆面积问题,已知圆面积的计算、圆的特征与各部分名称反求参数(逆向L4),ID-202 [算理转化],,图文结合,KP-0443|KP-0439,直接给出隐含条件; 加入无关数据; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0116,全学段,课内,图形与几何,平面图形面积,带有公共部分的周长大小比较,已知长方形周长的计算、圆的周长计算反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0191|KP-0441,直接给出隐含条件; 加入无关数据; 割补转化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,LENGTH,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0117,全学段,课内,图形与几何,立体图形表面积,无盖长方体表面积,已知长方体的表面积计算、表面积的实际应用反求参数(逆向L4),ID-201 [形体转化],,生活情境,KP-0384|KP-0386,直接给出隐含条件; 加入无关数据; 切割/拼接后变化,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0118,全学段,课内,图形与几何,立体图形表面积,通风管(烟囱)表面积,已知圆柱的侧面积计算、圆柱的表面积计算反求参数(逆向L4),ID-201 [形体转化],,生活情境,KP-0450|KP-0451,直接给出隐含条件; 加入无关数据; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0119,全学段,课内,图形与几何,立体图形表面积,切一刀增加表面积,长方体的表面积计算、长方形面积的计算(正向计算L5),ID-201 [形体转化],,生活情境,KP-0384|KP-0199,静态描述; 加入无关动态过程; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L5,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0120,全学段,课内,图形与几何,立体图形表面积,求组合体的表面积,长方体的表面积计算、正方体的表面积计算(正向计算L2),ID-201 [形体转化],,图文结合,KP-0384|KP-0385,从结果反推; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L2,,AREA,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0121,全学段,课内,图形与几何,立体图形表面积,长方体拼搭组合体的最大表面积,已知长方体的表面积计算、长方形面积的计算反求参数(逆向L4),ID-602 [极值与估算],,图文结合,KP-0384|KP-0199,直接给出隐含条件; 加入无关数据; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0122,全学段,课内,图形与几何,立体图形表面积,长方体拼搭组合体的最小表面积,已知长方体的表面积计算、长方形面积的计算反求参数(逆向L4),ID-602 [极值与估算],,图文结合,KP-0384|KP-0199,直接给出隐含条件; 加入无关数据; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0123,全学段,课内,图形与几何,立体图形表面积,立体图形拼接引起的表面积变化,长方体的表面积计算、正方体的表面积计算(正向计算L5),ID-201 [形体转化],,图文结合,KP-0384|KP-0385,静态描述; 加入无关动态过程; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L5,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0124,全学段,课内,图形与几何,立体图形表面积,立体图形截断引起的表面积变化,长方体的表面积计算、长方形面积的计算(正向计算L5),ID-201 [形体转化],,图文结合,KP-0384|KP-0199,静态描述; 加入无关动态过程; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L5,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0125,全学段,课内,图形与几何,立体图形表面积,在长方体角上挖空的表面积变化,长方体的表面积计算、正方体的表面积计算(正向计算L5),ID-201 [形体转化],,生活情境,KP-0384|KP-0385,静态描述; 加入无关动态过程; 切割/拼接后变化,,,,,,,,,,ID-201,,图文结合,ALG_L5,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0126,全学段,课内,图形与几何,立体图形表面积,在长方体棱上挖空的表面积变化,长方体的表面积计算、长方形面积的计算(正向计算L5),ID-201 [形体转化],,生活情境,KP-0384|KP-0199,静态描述; 加入无关动态过程; 切割/拼接后变化,,,,,,,,,,ID-201,,图文结合,ALG_L5,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0127,全学段,课内,图形与几何,立体图形表面积,在长方体面上挖空的表面积变化,长方体的表面积计算、长方形面积的计算(正向计算L5),ID-201 [形体转化],,生活情境,KP-0384|KP-0199,静态描述; 加入无关动态过程; 切割/拼接后变化,,,,,,,,,,ID-201,,图文结合,ALG_L5,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0128,全学段,课内,图形与几何,立体图形表面积,长宽高变化引起表面积变化,已知长方体的表面积计算、积的变化规律反求参数(逆向L4),ID-202 [算理转化],,图文结合,KP-0384|KP-0246,直接给出隐含条件; 加入无关数据; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0129,全学段,课内,图形与几何,立体图形表面积,用圆柱表面积解决实际问题(贴纸油漆类),已知圆柱的表面积计算、圆柱的侧面积计算反求参数(逆向L4),ID-201 [形体转化],,图文结合,KP-0451|KP-0450,直接给出隐含条件; 加入无关数据; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L4,,AREA,D4_REVERSE_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0130,全学段,课内,图形与几何,立体图形表面积,已知圆柱侧面积和半径求高,已知圆柱的侧面积计算、圆的周长计算反求参数(逆向L3),ID-202 [算理转化],,图文结合,KP-0450|KP-0441,多步倒推; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L3,,AREA,D2_REVERSE_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
KF-0131,全学段,课内,图形与几何,立体图形表面积,组合体露在外面的表面积,长方体的表面积计算、正方体的表面积计算(正向计算L2),ID-201 [形体转化],,图文结合,KP-0384|KP-0385,从结果反推; 无盖/靠墙少面,,,,,,,,,,ID-201,,图文结合,ALG_L2,,AREA,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-V
